REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
sentence_list_7tzuor 	 talks_about 	 The displayed temperature is the target temperature, and not the actual temperature of the refrigerator.
sentence_list_7tzuor 	 talks_about 	 the actual temperature of the refrigerator depends on the food inside the refrigerator.
Press the Refrigerator button repeatedly to select a new set temperature from 33 ° F to 46 ° F ( 1 ° C to 8 ° C ). 	 paraphrase 	 the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C 	 talks_about 	 the Refrigerator button
the Refrigerator button should be pressed repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C 	 talks_about 	 repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
the Refrigerator button 	 should_be_pressed 	 repeatedly to select a new set temperature from 33 ° F to 46 ° F 1 ° C to 8 ° C
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks_about 	 The displayed temperature
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks_about 	 the target temperature
The displayed temperature is the target temperature, and not the actual temperature of the refrigerator. 	 talks_about 	 the actual temperature of the refrigerator
The displayed temperature 	 is 	 the target temperature
the target temperature 	 is_reverse 	 The displayed temperature
the actual temperature of the refrigerator 	 is_not_reverse 	 The displayed temperature
The displayed temperature 	 is_not 	 the actual temperature of the refrigerator
the actual temperature of the refrigerator depends on the food inside the refrigerator. 	 talks_about 	 the actual temperature of the refrigerator
the actual temperature of the refrigerator depends on the food inside the refrigerator. 	 talks_about 	 the food inside the refrigerator
the actual temperature of the refrigerator 	 depends_on 	 the food inside the refrigerator
the food inside the refrigerator 	 depends_on_reverse 	 the actual temperature of the refrigerator
sentence_list_0r493s 	 talks_about 	 Replace Fresh Air Filter when the g icon turns on.
sentence_list_0r493s 	 talks_about 	 After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off.
sentence_list_0r493s 	 talks_about 	 Replace Fresh Air Filter approximately every six months.
sentence_list_0r493s 	 talks_about 	 Refer to the Replacing the Fresh Air Filter section for details.
sentence_list_0r493s 	 talks_about 	 the Fresh Air Filter helps remove odors from the refrigerator.
sentence_list_0r493s 	 talks_about 	 the Fresh Air Filter has two settings, Auto and Power.
sentence_list_0r493s 	 talks_about 	 In Auto mode, the Fresh Air Filter cycles on and off in increments of ten minutes on and 110 minutes off.
sentence_list_0r493s 	 talks_about 	 If set to the Power mode, the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off.
sentence_list_0r493s 	 talks_about 	 After four hours, the Fresh Air Filter switches back to Auto mode.
sentence_list_0r493s 	 talks_about 	 Press the Fresh Air Filter button repeatedly to toggle between the Power mode and Auto mode.
Replace Fresh Air Filter when the g icon turns on. 	 talks_about 	 the g icon turns on
Replace Fresh Air Filter when the g icon turns on. 	 talks_about 	 Replace Fresh Air Filter
Replace Fresh Air Filter 	 Synchronous 	 the g icon turns on
the g icon turns on 	 Synchronous 	 Replace Fresh Air Filter
After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off. 	 talks_about 	 to turn the icon light off
After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds to turn the icon light off. 	 talks_about 	 After replacing Fresh Air Filter, press and hold the Fresh Air Filter button for three seconds
Replace Fresh Air Filter approximately every six months. 	 paraphrase 	 Fresh Air Filter should be replaced approximately every six months
Fresh Air Filter should be replaced approximately every six months 	 talks_about 	 Fresh Air Filter
Fresh Air Filter should be replaced approximately every six months 	 talks_about 	 approximately every six months
Fresh Air Filter 	 should_be_replaced 	 approximately every six months
Refer to the Replacing the Fresh Air Filter section for details. 	 paraphrase 	 the Replacing the Fresh Air Filter section should be referred to for details
the Replacing the Fresh Air Filter section should be referred to for details 	 talks_about 	 the Replacing the Fresh Air Filter section
the Replacing the Fresh Air Filter section should be referred to for details 	 talks_about 	 to for details
the Replacing the Fresh Air Filter section 	 should_be_referred 	 to for details
If set to the Power mode, the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off. 	 talks_about 	 set to the Power mode
If set to the Power mode, the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off. 	 talks_about 	 the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off
the Fresh Air Filter stays on continuously for four hours , cycling on and off in increments of ten minutes on and five minutes off 	 Condition 	 set to the Power mode
set to the Power mode 	 Follows 	 the Fresh Air Filter stays on continuously for four hours , cycling on and off in increments of ten minutes on and five minutes off
After four hours, the Fresh Air Filter switches back to Auto mode. 	 talks_about 	 four hours, the Fresh Air Filter switches back to Auto mode
Press the Fresh Air Filter button repeatedly to toggle between the Power mode and Auto mode. 	 paraphrase 	 the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode
the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode 	 talks_about 	 the Fresh Air Filter button
the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode 	 talks_about 	 repeatedly to toggle between the Power mode and Auto mode
the Fresh Air Filter button 	 should_be_pressed 	 repeatedly to toggle between the Power mode and Auto mode
Replace Fresh Air Filter 	 paraphrase 	 Fresh Air Filter should be replaced
Fresh Air Filter should be replaced approximately every six months 	 talks_about 	 every six months
every six months 	 should_be_replaced_reverse 	 Fresh Air Filter
Fresh Air Filter 	 should_be_replaced 	 every six months
the Fresh Air Filter helps remove odors from the refrigerator. 	 talks_about 	 the Fresh Air Filter
the Fresh Air Filter helps remove odors from the refrigerator. 	 talks_about 	 remove odors from the refrigerator
the Fresh Air Filter 	 helps 	 remove odors from the refrigerator
remove odors from the refrigerator 	 helps_reverse 	 the Fresh Air Filter
the Fresh Air Filter has two settings, Auto and Power. 	 talks_about 	 two settings
the Fresh Air Filter has two settings, Auto and Power. 	 talks_about 	 the Fresh Air Filter
two settings 	 has_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 has 	 two settings
the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode 	 talks_about 	 toggle between the Power mode and Auto mode
toggle between the Power mode and Auto mode 	 should_be_pressed_repeatedly_to_reverse 	 the Fresh Air Filter button
the Fresh Air Filter button 	 should_be_pressed_repeatedly_to 	 toggle between the Power mode and Auto mode
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 the Fresh Air Filter
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 increments of five minutes off
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 increments of ten minutes on off
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 cycling on
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 four hours
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 cycling off in increments of five minutes off
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 cycling off in increments of ten minutes on off
the Fresh Air Filter 	 cycling_off_in 	 increments of five minutes off
the Fresh Air Filter 	 cycling_off_in 	 increments of ten minutes on off
cycling on 	 stays_continuously_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 stays_continuously_for 	 four hours
cycling off in increments of five minutes off 	 stays_continuously_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 stays_continuously 	 cycling off in increments of ten minutes on off
four hours 	 stays_continuously_for_reverse 	 the Fresh Air Filter
increments of five minutes off 	 cycling_off_in_reverse 	 the Fresh Air Filter
increments of ten minutes on off 	 cycling_off_in_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 stays_continuously 	 cycling off in increments of five minutes off
cycling off in increments of ten minutes on off 	 stays_continuously_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 stays_continuously 	 cycling on
four hours, the Fresh Air Filter switches back to Auto mode 	 talks_about 	 four hours
four hours, the Fresh Air Filter switches back to Auto mode 	 talks_about 	 the Fresh Air Filter
four hours 	 switches_back_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 switches_back 	 four hours
sentence_list_0zpdk1 	 talks_about 	 When power is initially connected to the refrigerator, The lock function is off.
sentence_list_0zpdk1 	 talks_about 	 To lock the control panel buttons, press and hold the Lock button until the k icon appears in the display and The lock function is activated.
To lock the control panel buttons, press and hold the Lock button until the k icon appears in the display and The lock function is activated. 	 talks_about 	 the control panel buttons
To lock the control panel buttons, press and hold the Lock button until the k icon appears in the display and The lock function is activated. 	 talks_about 	 press and hold the Lock button until the k icon appears in the display and The lock function is activated
the control panel buttons 	 should_be_locked_by 	 press and hold the Lock button until the k icon appears in the display and The lock function is activated
sentence_list_0zpdk1 	 talks_about 	 To disable The lock function, press and hold the Lock button for approximately three seconds.
To disable The lock function, press and hold the Lock button for approximately three seconds. 	 talks_about 	 The lock function
To disable The lock function, press and hold the Lock button for approximately three seconds. 	 talks_about 	 press and hold the Lock button for approximately three seconds
The lock function 	 should_be_disabled_by 	 press and hold the Lock button for approximately three seconds
When power is initially connected to the refrigerator, The lock function is off. 	 talks_about 	 power is initially connected to the refrigerator
When power is initially connected to the refrigerator, The lock function is off. 	 talks_about 	 The lock function is off
The lock function is off 	 Synchronous 	 power is initially connected to the refrigerator
power is initially connected to the refrigerator 	 Synchronous 	 The lock function is off
power is initially connected to the refrigerator 	 talks_about 	 power
The lock function is off 	 talks_about 	 The lock function
sentence_list_ztcv11 	 talks_about 	 Replace the water filter when the h icon turns on.
